at ,Length (min),Hovedrommet (Meet-salen) - Track A: Utvikling (Dev),Rom M4 - Track B: Plattform & Sikkerhet (Ops & Sec),"Rom M5 - Track C: Metode, Produkt & Data (Process & Data)",Mesanin - OpenSpace (dedikert rom)
09:00 - 09:10,10,Velkommen fra arrangørene,Velkommen fra arrangørene (Hovedrommet),Velkommen fra arrangørene (Hovedrommet),Velkommen fra arrangørene (Hovedrommet)
09:10 - 09:20,10,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom
09:20 - 09:50,30,"Hvordan Nix & Rust forenkler (F)OSS adopsjon! - Christian Chavez, Nav","Gjenoppretting av data etter katastrofale hendelser - Leila Langø og Ole Dag Svebak, Skatteetaten","Produktmodne team bygges - de oppstår ikke av seg selv - Gunn-Elin Åsgren og Ove Dalen, Politiets IT-enhet",Pause/Tid til å bytte rom
09:50 - 10:00,10,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,"WORKSHOP: Leesah Game - Kyrre Havik, Nav"
10:00 - 10:30,30,"Designsystem i ren CSS – er det mulig?? Og, hvorfor er det fett for meg? - Eirik Backer og Tobias Barsnes, Mattilsynet","Leveransekjedesikkerhet for frontendere - Knut Haugen, NRK
","Fra applikasjonssentrisk til datasentrisk tjenesteutvikling – revolusjon eller evolusjon? - Erik Hagen, Digdir","WORKSHOP: Leesah Game - Kyrre Havik, Nav"
10:30 - 10:40,10,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,"WORKSHOP: Leesah Game - Kyrre Havik, Nav"
10:40 - 11:10,30,"Koding og brukeropplevelse i AI-eraen - Kjetil Hårtveit, Politiets IT-enhet","eIDAS2 og vegen mot eit europeisk økosystem for digitale identitetslommebøker - Aamund Bremer, Digitaliseringsdirektoratet","Fra Start-Up til Stat-Up – innovasjon fra innsiden av staten - Jørgen Ekvoll, Statens Pensjonskasse","WORKSHOP: Leesah Game - Kyrre Havik, Nav"
11:10 - 11:20,10,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,"WORKSHOP: Leesah Game - Kyrre Havik, Nav"
11:20 - 11:50,30,"Designsystem-team of one! - Lene Ludvigsen, Enova SF","La oss bygge et datasenter - Håvard Elnan, Norsk helsenett SF","Ingen pauseknapp i politiet. Slik erstattet vi en kritisk løsning uten å miste kontrollen - Kim Olsen Vindsland, Politiets IT-Enhet","WORKSHOP: Leesah Game - Kyrre Havik, Nav"
11:50 - 13:00,60,Lunch,Lunch,Lunch,Lunch
13:00 - 13:30,30,"Når koden ikke funker for deg - Helén Persson, NRK","Trusselmodellering - Report from the trenches - Rune Schumann, Digitaliseringsetaten, Oslo kommune
","Tenor testdatasøk - Margrethe Bedregal og Linda Granstad, Test-Norge samarbeidet/Skatteetaten ",OPEN SPACE 
13:30 - 13:40,10,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,Pause/Tid til å bytte rom,OPEN SPACE
